nameseq,k1,k2,label
AJ505680.1/1-101,1.976436291512967,3.8645620354823396,hacabox
AARH01010739.1/234432-234534,1.98624238236396,3.896909864392942,hacabox
AC148915.2/27731-27645,1.9462492144594699,3.861143244326568,hacabox
AASG02000807.1/14902-14812,1.9453597909498113,3.8540397927816374,hacabox
AP007291.1/29018-29107,1.9939338459099296,3.9398145794522965,hacabox
nameseq,k1,k2,label
AJ505680.1/1-101,1.976436291512967,3.8645620354823396,hacabox
AARH01010739.1/234432-234534,1.98624238236396,3.896909864392942,hacabox
AC148915.2/27731-27645,1.9462492144594699,3.861143244326568,hacabox
AASG02000807.1/14902-14812,1.9453597909498113,3.8540397927816374,hacabox
AP007291.1/29018-29107,1.9939338459099296,3.9398145794522965,hacabox
