nameseq,AB.1,AD.1,ASSD.1,MAXD.1,MIND.1,AS.1,APL.1,TALU.1,TU.1,NE.1,MOT3.1,MOT4.1,AB.2,AD.2,ASSD.2,MAXD.2,MIND.2,AS.2,APL.2,TALU.2,TU.2,NE.2,MOT3.2,MOT4.2,AB.3,AD.3,ASSD.3,MAXD.3,MIND.3,AS.3,APL.3,TALU.3,TU.3,NE.3,MOT3.3,MOT4.3,AB.4,AD.4,ASSD.4,MAXD.4,MIND.4,AS.4,APL.4,TALU.4,TU.4,NE.4,MOT3.4,MOT4.4,AB.5,AD.5,ASSD.5,MAXD.5,MIND.5,AS.5,APL.5,TALU.5,TU.5,NE.5,MOT3.5,MOT4.5,AB.6,AD.6,ASSD.6,MAXD.6,MIND.6,AS.6,APL.6,TALU.6,TU.6,NE.6,MOT3.6,MOT4.6,AB.7,AD.7,ASSD.7,MAXD.7,MIND.7,AS.7,APL.7,TALU.7,TU.7,NE.7,MOT3.7,MOT4.7,AB.8,AD.8,ASSD.8,MAXD.8,MIND.8,AS.8,APL.8,TALU.8,TU.8,NE.8,MOT3.8,MOT4.8,AB.9,AD.9,ASSD.9,MAXD.9,MIND.9,AS.9,APL.9,TALU.9,TU.9,NE.9,MOT3.9,MOT4.9,AB.10,AD.10,ASSD.10,MAXD.10,MIND.10,AS.10,APL.10,TALU.10,TU.10,NE.10,MOT3.10,MOT4.10,label
CP001857.1/451659-451932,57.78125000000002,8.781249999999998,0.4518776297652154,32.0,2.0,5.360354320145264,2.8343253968253967,0.06592261904761905,0.06607929515418502,271.0,651.0,3126.0,37.10937499999999,5.718750000000001,0.4477458504956341,31.0,0.0,5.98035520997708,1.7976931348623157e+308,0.07745098039215687,0.07142857142857142,271.0,120.0,305.0,2.265625,3.1562499999999996,0.5070607425675663,27.0,0.0,5.262540825257321,1.7976931348623157e+308,0.0,0.0,271.0,20.0,20.0,0.09375000000000003,2.125,0.7395728502739575,21.0,0.0,4.399928976699511,1.7976931348623157e+308,0.0,0.0,271.0,4.0,1.0,0.0,1.3750000000000004,0.5851013672795854,21.0,0.0,4.02919036532155,1.7976931348623157e+308,0.0,0.0,271.0,0.0,0.0,0.0,0.9062499999999998,1.0,16.0,0.0,3.529866985808389,1.7976931348623157e+308,0.0,0.0,271.0,0.0,0.0,0.0,0.9062499999999998,1.0,16.0,0.0,3.529866985808389,1.7976931348623157e+308,0.0,0.0,271.0,0.0,0.0,0.0,0.9062499999999998,1.0,16.0,0.0,3.529866985808389,1.7976931348623157e+308,0.0,0.0,271.0,0.0,0.0,0.0,0.40624999999999994,0.0,13.0,0.0,2.2619042723996965,1.7976931348623157e+308,0.0,0.0,271.0,0.0,0.0,0.0,0.40624999999999994,0.0,13.0,0.0,2.2619042723996965,1.7976931348623157e+308,0.0,0.0,271.0,0.0,0.0,hacabox
AF468963.1/1-277,56.22222222222222,9.079365079365079,0.47452294730291295,36.0,2.0,6.016647770189525,2.813620071684588,0.09070294784580502,0.08177905308464849,274.0,659.0,3297.0,51.68253968253969,6.349206349206349,0.4473513983495836,35.0,0.0,6.45904983468496,1.7976931348623157e+308,0.07211779448621554,0.0972972972972973,274.0,173.0,526.0,4.8730158730158735,3.4285714285714275,0.5024616171725287,31.0,0.0,5.6222751021506445,1.7976931348623157e+308,0.0,0.0,274.0,27.0,37.0,0.47619047619047633,1.9999999999999996,0.3095479182798261,31.0,0.0,5.139328595516968,1.7976931348623157e+308,0.0,0.0,274.0,7.0,6.0,0.0634920634920635,1.3650793650793653,0.32206989910775075,27.0,0.0,4.405269526019469,1.7976931348623157e+308,0.0,0.0,274.0,2.0,1.0,0.0,0.8888888888888892,0.023965141612201025,22.0,0.0,3.7165913343256443,1.7976931348623157e+308,0.0,0.0,274.0,0.0,0.0,0.0,0.507936507936508,0.0,16.0,0.0,2.8051710519840656,1.7976931348623157e+308,0.0,0.0,274.0,0.0,0.0,0.0,0.507936507936508,0.0,16.0,0.0,2.8051710519840656,1.7976931348623157e+308,0.0,0.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
AJ248284.1/75232-75504,56.61904761904762,8.888888888888888,0.5975074882327773,34.0,2.0,5.852990311868705,2.82642089093702,0.07059712773998487,0.06997084548104957,270.0,654.0,3276.0,51.9047619047619,6.095238095238095,0.5797809001675563,32.0,0.0,6.275966467568228,1.7976931348623157e+308,0.07503217503217503,0.08771929824561403,270.0,161.0,480.0,7.079365079365078,3.428571428571428,0.4806705617821455,32.0,0.0,5.964749055284473,1.7976931348623157e+308,0.10909090909090911,0.06666666666666667,270.0,43.0,85.0,0.6825396825396827,1.714285714285714,0.09671125259941951,32.0,0.0,5.128286236930536,1.7976931348623157e+308,0.0,0.0,270.0,8.0,8.0,0.015873015873015865,0.8253968253968252,-0.18424105652940945,28.0,0.0,3.901728076812471,1.7976931348623157e+308,0.0,0.0,270.0,1.0,0.0,0.0,0.6666666666666666,0.01887579518197898,23.0,0.0,3.3190168749003095,1.7976931348623157e+308,0.0,0.0,270.0,0.0,0.0,0.0,0.47619047619047633,-0.3043478260869553,23.0,0.0,2.9912950046741726,1.7976931348623157e+308,0.0,0.0,270.0,0.0,0.0,0.0,0.25396825396825395,0.0,16.0,0.0,1.999748031495063,1.7976931348623157e+308,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
AP006878.1/462004-462277,56.96721311475411,9.21311475409836,0.5892167876483467,48.0,2.0,7.97560780169785,2.898907103825137,0.06834504293520688,0.09359605911330049,271.0,571.0,2746.0,64.14754098360655,6.622950819672133,0.4960505982024074,48.0,0.0,8.5279942761842,1.7976931348623157e+308,0.04061624649859944,0.0736196319018405,271.0,155.0,467.0,7.098360655737703,3.9344262295081975,0.42856276944758015,46.0,0.0,8.052835469386974,1.7976931348623157e+308,0.0,0.0,271.0,43.0,84.0,2.8688524590163933,3.344262295081968,0.37217042147905854,46.0,0.0,7.821544952207204,1.7976931348623157e+308,0.0,0.0,271.0,29.0,52.0,0.4918032786885248,2.4262295081967222,0.5188842906564397,38.0,0.0,6.695873494098088,1.7976931348623157e+308,0.0,0.0,271.0,12.0,15.0,0.1639344262295082,1.4426229508196726,0.16451077943615247,38.0,0.0,5.750337381873773,1.7976931348623157e+308,0.0,0.0,271.0,3.0,2.0,0.0,0.6557377049180328,-0.2499999999999994,32.0,0.0,4.172058680809671,1.7976931348623157e+308,0.0,0.0,271.0,0.0,0.0,0.0,0.6557377049180328,-0.2499999999999994,32.0,0.0,4.172058680809671,1.7976931348623157e+308,0.0,0.0,271.0,0.0,0.0,0.0,0.3934426229508196,0.0,24.0,0.0,3.047593452753376,1.7976931348623157e+308,0.0,0.0,271.0,0.0,0.0,0.0,0.3934426229508196,0.0,24.0,0.0,3.047593452753376,1.7976931348623157e+308,0.0,0.0,271.0,0.0,0.0,hacabox
nameseq,AB.1,AD.1,ASSD.1,MAXD.1,MIND.1,AS.1,APL.1,TALU.1,TU.1,NE.1,MOT3.1,MOT4.1,AB.2,AD.2,ASSD.2,MAXD.2,MIND.2,AS.2,APL.2,TALU.2,TU.2,NE.2,MOT3.2,MOT4.2,AB.3,AD.3,ASSD.3,MAXD.3,MIND.3,AS.3,APL.3,TALU.3,TU.3,NE.3,MOT3.3,MOT4.3,AB.4,AD.4,ASSD.4,MAXD.4,MIND.4,AS.4,APL.4,TALU.4,TU.4,NE.4,MOT3.4,MOT4.4,AB.5,AD.5,ASSD.5,MAXD.5,MIND.5,AS.5,APL.5,TALU.5,TU.5,NE.5,MOT3.5,MOT4.5,AB.6,AD.6,ASSD.6,MAXD.6,MIND.6,AS.6,APL.6,TALU.6,TU.6,NE.6,MOT3.6,MOT4.6,AB.7,AD.7,ASSD.7,MAXD.7,MIND.7,AS.7,APL.7,TALU.7,TU.7,NE.7,MOT3.7,MOT4.7,AB.8,AD.8,ASSD.8,MAXD.8,MIND.8,AS.8,APL.8,TALU.8,TU.8,NE.8,MOT3.8,MOT4.8,AB.9,AD.9,ASSD.9,MAXD.9,MIND.9,AS.9,APL.9,TALU.9,TU.9,NE.9,MOT3.9,MOT4.9,AB.10,AD.10,ASSD.10,MAXD.10,MIND.10,AS.10,APL.10,TALU.10,TU.10,NE.10,MOT3.10,MOT4.10,label
CP001857.1/451659-451932,57.78125000000002,8.781249999999998,0.4518776297652154,32.0,2.0,5.360354320145264,2.8343253968253967,0.06592261904761905,0.06607929515418502,271.0,651.0,3126.0,37.10937499999999,5.718750000000001,0.4477458504956341,31.0,0.0,5.98035520997708,1.7976931348623157e+308,0.07745098039215687,0.07142857142857142,271.0,120.0,305.0,2.265625,3.1562499999999996,0.5070607425675663,27.0,0.0,5.262540825257321,1.7976931348623157e+308,0.0,0.0,271.0,20.0,20.0,0.09375000000000003,2.125,0.7395728502739575,21.0,0.0,4.399928976699511,1.7976931348623157e+308,0.0,0.0,271.0,4.0,1.0,0.0,1.3750000000000004,0.5851013672795854,21.0,0.0,4.02919036532155,1.7976931348623157e+308,0.0,0.0,271.0,0.0,0.0,0.0,0.9062499999999998,1.0,16.0,0.0,3.529866985808389,1.7976931348623157e+308,0.0,0.0,271.0,0.0,0.0,0.0,0.9062499999999998,1.0,16.0,0.0,3.529866985808389,1.7976931348623157e+308,0.0,0.0,271.0,0.0,0.0,0.0,0.9062499999999998,1.0,16.0,0.0,3.529866985808389,1.7976931348623157e+308,0.0,0.0,271.0,0.0,0.0,0.0,0.40624999999999994,0.0,13.0,0.0,2.2619042723996965,1.7976931348623157e+308,0.0,0.0,271.0,0.0,0.0,0.0,0.40624999999999994,0.0,13.0,0.0,2.2619042723996965,1.7976931348623157e+308,0.0,0.0,271.0,0.0,0.0,hacabox
AF468963.1/1-277,56.22222222222222,9.079365079365079,0.47452294730291295,36.0,2.0,6.016647770189525,2.813620071684588,0.09070294784580502,0.08177905308464849,274.0,659.0,3297.0,51.68253968253969,6.349206349206349,0.4473513983495836,35.0,0.0,6.45904983468496,1.7976931348623157e+308,0.07211779448621554,0.0972972972972973,274.0,173.0,526.0,4.8730158730158735,3.4285714285714275,0.5024616171725287,31.0,0.0,5.6222751021506445,1.7976931348623157e+308,0.0,0.0,274.0,27.0,37.0,0.47619047619047633,1.9999999999999996,0.3095479182798261,31.0,0.0,5.139328595516968,1.7976931348623157e+308,0.0,0.0,274.0,7.0,6.0,0.0634920634920635,1.3650793650793653,0.32206989910775075,27.0,0.0,4.405269526019469,1.7976931348623157e+308,0.0,0.0,274.0,2.0,1.0,0.0,0.8888888888888892,0.023965141612201025,22.0,0.0,3.7165913343256443,1.7976931348623157e+308,0.0,0.0,274.0,0.0,0.0,0.0,0.507936507936508,0.0,16.0,0.0,2.8051710519840656,1.7976931348623157e+308,0.0,0.0,274.0,0.0,0.0,0.0,0.507936507936508,0.0,16.0,0.0,2.8051710519840656,1.7976931348623157e+308,0.0,0.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
AJ248284.1/75232-75504,56.61904761904762,8.888888888888888,0.5975074882327773,34.0,2.0,5.852990311868705,2.82642089093702,0.07059712773998487,0.06997084548104957,270.0,654.0,3276.0,51.9047619047619,6.095238095238095,0.5797809001675563,32.0,0.0,6.275966467568228,1.7976931348623157e+308,0.07503217503217503,0.08771929824561403,270.0,161.0,480.0,7.079365079365078,3.428571428571428,0.4806705617821455,32.0,0.0,5.964749055284473,1.7976931348623157e+308,0.10909090909090911,0.06666666666666667,270.0,43.0,85.0,0.6825396825396827,1.714285714285714,0.09671125259941951,32.0,0.0,5.128286236930536,1.7976931348623157e+308,0.0,0.0,270.0,8.0,8.0,0.015873015873015865,0.8253968253968252,-0.18424105652940945,28.0,0.0,3.901728076812471,1.7976931348623157e+308,0.0,0.0,270.0,1.0,0.0,0.0,0.6666666666666666,0.01887579518197898,23.0,0.0,3.3190168749003095,1.7976931348623157e+308,0.0,0.0,270.0,0.0,0.0,0.0,0.47619047619047633,-0.3043478260869553,23.0,0.0,2.9912950046741726,1.7976931348623157e+308,0.0,0.0,270.0,0.0,0.0,0.0,0.25396825396825395,0.0,16.0,0.0,1.999748031495063,1.7976931348623157e+308,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
AP006878.1/462004-462277,56.96721311475411,9.21311475409836,0.5892167876483467,48.0,2.0,7.97560780169785,2.898907103825137,0.06834504293520688,0.09359605911330049,271.0,571.0,2746.0,64.14754098360655,6.622950819672133,0.4960505982024074,48.0,0.0,8.5279942761842,1.7976931348623157e+308,0.04061624649859944,0.0736196319018405,271.0,155.0,467.0,7.098360655737703,3.9344262295081975,0.42856276944758015,46.0,0.0,8.052835469386974,1.7976931348623157e+308,0.0,0.0,271.0,43.0,84.0,2.8688524590163933,3.344262295081968,0.37217042147905854,46.0,0.0,7.821544952207204,1.7976931348623157e+308,0.0,0.0,271.0,29.0,52.0,0.4918032786885248,2.4262295081967222,0.5188842906564397,38.0,0.0,6.695873494098088,1.7976931348623157e+308,0.0,0.0,271.0,12.0,15.0,0.1639344262295082,1.4426229508196726,0.16451077943615247,38.0,0.0,5.750337381873773,1.7976931348623157e+308,0.0,0.0,271.0,3.0,2.0,0.0,0.6557377049180328,-0.2499999999999994,32.0,0.0,4.172058680809671,1.7976931348623157e+308,0.0,0.0,271.0,0.0,0.0,0.0,0.6557377049180328,-0.2499999999999994,32.0,0.0,4.172058680809671,1.7976931348623157e+308,0.0,0.0,271.0,0.0,0.0,0.0,0.3934426229508196,0.0,24.0,0.0,3.047593452753376,1.7976931348623157e+308,0.0,0.0,271.0,0.0,0.0,0.0,0.3934426229508196,0.0,24.0,0.0,3.047593452753376,1.7976931348623157e+308,0.0,0.0,271.0,0.0,0.0,hacabox
