nameseq,k1,k2,label
U35631.2/189-333,0.7437812128418549,0.9323881172839507,hacabox
AF426408.1/2331-2471,0.7468437201348022,0.931734693877551,hacabox
AASV01043460.1/657-805,0.7459123462907076,0.9334368151935719,hacabox
AAPT01018955.1/17011-17152,0.7467764332473715,0.9321462703083345,hacabox
AAQB01006339.1/43171-43326,0.7393162393162394,0.928366285119667,hacabox
nameseq,k1,k2,label
U35631.2/189-333,0.7437812128418549,0.9323881172839507,hacabox
AF426408.1/2331-2471,0.7468437201348022,0.931734693877551,hacabox
AASV01043460.1/657-805,0.7459123462907076,0.9334368151935719,hacabox
AAPT01018955.1/17011-17152,0.7467764332473715,0.9321462703083345,hacabox
AAQB01006339.1/43171-43326,0.7393162393162394,0.928366285119667,hacabox
