nameseq,AB.1,AD.1,ASSD.1,MAXD.1,MIND.1,AS.1,APL.1,TALU.1,TU.1,NE.1,MOT3.1,MOT4.1,AB.2,AD.2,ASSD.2,MAXD.2,MIND.2,AS.2,APL.2,TALU.2,TU.2,NE.2,MOT3.2,MOT4.2,AB.3,AD.3,ASSD.3,MAXD.3,MIND.3,AS.3,APL.3,TALU.3,TU.3,NE.3,MOT3.3,MOT4.3,AB.4,AD.4,ASSD.4,MAXD.4,MIND.4,AS.4,APL.4,TALU.4,TU.4,NE.4,MOT3.4,MOT4.4,AB.5,AD.5,ASSD.5,MAXD.5,MIND.5,AS.5,APL.5,TALU.5,TU.5,NE.5,MOT3.5,MOT4.5,AB.6,AD.6,ASSD.6,MAXD.6,MIND.6,AS.6,APL.6,TALU.6,TU.6,NE.6,MOT3.6,MOT4.6,AB.7,AD.7,ASSD.7,MAXD.7,MIND.7,AS.7,APL.7,TALU.7,TU.7,NE.7,MOT3.7,MOT4.7,AB.8,AD.8,ASSD.8,MAXD.8,MIND.8,AS.8,APL.8,TALU.8,TU.8,NE.8,MOT3.8,MOT4.8,AB.9,AD.9,ASSD.9,MAXD.9,MIND.9,AS.9,APL.9,TALU.9,TU.9,NE.9,MOT3.9,MOT4.9,AB.10,AD.10,ASSD.10,MAXD.10,MIND.10,AS.10,APL.10,TALU.10,TU.10,NE.10,MOT3.10,MOT4.10,label
AAEL01000384.1/2844-2571,51.88709677419356,8.741935483870966,0.2757867599426191,22.0,2.0,4.280245259293984,2.701216287678477,0.1035330261136713,0.07944514501891552,271.0,751.0,4017.0,53.870967741935495,5.548387096774194,0.08147255631817919,22.0,0.0,4.834944771859372,1.7976931348623157e+308,0.05416666666666666,0.05357142857142857,271.0,162.0,481.0,12.580645161290322,2.903225806451613,0.24366749910809835,18.0,0.0,3.7832810364317835,1.7976931348623157e+308,0.0,0.0,271.0,28.0,40.0,0.11290322580645165,1.2580645161290325,-0.34322086268693636,18.0,0.0,2.895689142283905,1.7976931348623157e+308,0.0,0.0,271.0,7.0,4.0,0.0,0.35483870967741943,1.0,6.0,0.0,1.3571409011588795,1.7976931348623157e+308,0.0,0.0,271.0,0.0,0.0,0.0,0.19354838709677424,0.0,6.0,0.0,1.0601081758164506,1.7976931348623157e+308,0.0,0.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cdbox
AAEE01000003.1/883306-883038,53.904761904761905,8.444444444444445,0.2834275053418689,22.0,2.0,4.316001153984935,2.738863287250384,0.12275132275132278,0.08450704225352113,266.0,737.0,3898.0,44.65079365079365,5.269841269841269,0.07065389377343333,22.0,0.0,4.854081408877594,1.7976931348623157e+308,0.06422764227642276,0.07017543859649122,266.0,163.0,497.0,10.857142857142858,2.6031746031746033,0.26434265523333456,18.0,0.0,3.5969108551189395,1.7976931348623157e+308,0.0,0.0,266.0,24.0,33.0,0.09523809523809526,0.984126984126984,-0.3678722353328582,18.0,0.0,2.7050338934710982,1.7976931348623157e+308,0.0,0.0,266.0,6.0,4.0,0.0,0.3492063492063493,1.0,6.0,0.0,1.3470571117001349,1.7976931348623157e+308,0.0,0.0,266.0,0.0,0.0,0.0,0.19047619047619052,0.0,6.0,0.0,1.051939144494025,1.7976931348623157e+308,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cdbox
AAZY02000001.1/850089-849864,56.39999999999997,7.566666666666668,0.17973768736616585,20.0,2.0,4.160795864041184,2.911864406779661,0.10329365079365081,0.07894736842105263,223.0,540.0,2590.0,56.966666666666654,4.999999999999999,-0.005408580933953201,20.0,0.0,4.39317652729776,1.7976931348623157e+308,0.02912087912087912,0.043795620437956206,223.0,133.0,361.0,2.1999999999999997,2.2666666666666666,-0.07725823036302447,14.0,0.0,3.4003267816817577,1.7976931348623157e+308,0.0,0.0,223.0,20.0,22.0,0.0,0.5666666666666664,1.0,8.0,0.0,1.7829438827088444,1.7976931348623157e+308,0.0,0.0,223.0,0.0,0.0,0.0,0.16666666666666669,0.0,5.0,0.0,0.8975274678557507,1.7976931348623157e+308,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cdbox
ABPA01000112.1/172751-172525,60.140625,7.031250000000001,0.0654296874999998,16.0,2.0,3.7205877811845807,2.9092261904761907,0.10349702380952382,0.07566765578635015,224.0,640.0,3283.0,46.25000000000001,4.218749999999999,-0.1410796790143471,15.0,0.0,3.8015981425579426,1.7976931348623157e+308,0.03425925925925926,0.02112676056338028,224.0,140.0,377.0,0.31250000000000006,0.9062500000000001,0.16222222222222338,7.0,0.0,2.0745387288503436,1.7976931348623157e+308,0.42857142857142855,0.42857142857142855,224.0,5.0,3.0,0.0,0.2500000000000001,0.0,4.0,0.0,0.9682458365518543,1.7976931348623157e+308,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cdbox
ABDB01000050.1/749589-749691,57.07999999999999,4.040000000000002,0.16117418431011493,9.0,2.0,2.0684293558156632,3.329795918367347,0.05066666666666666,0.05084745762711865,100.0,228.0,747.0,0.43999999999999984,1.28,0.1949685534591195,6.0,0.0,1.8225257199831226,1.7976931348623157e+308,0.0,0.0,100.0,8.0,4.0,0.0,0.1600000000000001,0.0,4.0,0.0,0.7838367176906171,1.7976931348623157e+308,0.0,0.0,100.0,0.0,0.0,0.0,0.1600000000000001,0.0,4.0,0.0,0.7838367176906171,1.7976931348623157e+308,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cdbox
ABFO01000069.1/3951-4046,65.58000000000001,3.760000000000001,0.2497362711729465,10.0,2.0,2.093418257300724,3.676734693877551,0.060857142857142874,0.07964601769911504,93.0,214.0,720.0,0.1600000000000001,1.04,0.050561797752808633,8.0,0.0,1.6608431593621358,1.7976931348623157e+308,0.0,0.0,93.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cdbox
AM270162.1/34733-34641,32.54054054054054,4.972972972972974,0.06343409046111721,14.0,1.0,2.8235159841557573,2.8078078078078077,0.08326719576719577,0.05454545454545454,90.0,212.0,784.0,9.675675675675675,2.3783783783783776,-0.2993630573248407,11.0,0.0,2.72477473754131,1.7976931348623157e+308,0.0,0.0,90.0,27.0,39.0,0.0,0.5405405405405406,1.0,8.0,0.0,1.552584499064332,1.7976931348623157e+308,0.0,0.0,90.0,0.0,0.0,0.0,0.2162162162162162,0.0,8.0,0.0,1.2972972972972974,1.7976931348623157e+308,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cdbox
AACD01000017.1/202498-202407,46.70731707317072,4.341463414634147,0.2339866078719581,12.0,2.0,2.44560088977661,3.3353658536585367,0.032055749128919855,0.03260869565217391,89.0,180.0,595.0,9.170731707317072,2.000000000000001,-0.03403731802337503,9.0,0.0,2.469323991623974,1.7976931348623157e+308,0.0,0.0,89.0,24.0,38.0,0.0,0.4390243902439023,0.0,3.0,0.0,1.0603446399650809,1.7976931348623157e+308,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cdbox
AP007169.1/1056814-1056914,47.93023255813953,4.55813953488372,0.35632843117173957,12.0,2.0,2.442856939536502,3.2823920265780733,0.08006644518272425,0.09170305676855896,98.0,215.0,773.0,8.767441860465114,2.0000000000000004,0.03899191631003328,9.0,0.0,2.4112141108520606,1.7976931348623157e+308,0.0,0.0,98.0,24.0,35.0,0.0,0.41860465116279055,0.0,3.0,0.0,1.039511471564047,1.7976931348623157e+308,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cdbox
AM920431.1/1133479-1133568,39.48780487804878,4.24390243902439,0.03935305310499935,16.0,2.0,2.648335766466418,2.9743902439024392,0.08298490127758422,0.05240174672489083,87.0,221.0,817.0,2.5609756097560976,1.3658536585365852,-0.24381940956526602,14.0,0.0,2.5255387984520485,1.7976931348623157e+308,0.0,0.0,87.0,21.0,42.0,0.024390243902439022,0.29268292682926833,-1.0,6.0,0.0,1.1096890893733977,1.7976931348623157e+308,0.0,0.0,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cdbox
