nameseq,k1,k2,label
X01556.1/3-118,2.0064746162821256,3.9111948419335576,negative
X55260.1/3-119,1.9722851984796512,3.8340892228578034,negative
M16174.1/3-119,1.9603074267311147,3.8110494588323682,negative
X55267.1/3-119,1.9611127532138044,3.810113391249433,negative
M16172.1/3-119,1.9769202624891489,3.8562822972057287,negative
AF001265.1/6033-6149,1.9814997142485866,3.8638834082900773,negative
X05057.1/3-119,1.9814997142485866,3.8607696811189114,negative
X15126.1/3-120,1.9774004214480463,3.84331755104983,negative
Z50737.1/3-119,1.9642977543586277,3.829211368536923,negative
X55261.1/3-119,1.9824328254921546,3.88212688857345,negative
Z50059.1/3-119,1.9980031260750999,3.912484319635493,negative
Z50061.1/3-119,1.9902007995889488,3.8978518793137864,negative
Z50060.1/3-119,1.981249956963476,3.874181092064674,negative
Z50075.1/3-119,1.9861942187848853,3.894654820103658,negative
Z50066.1/3-119,1.9769202624891489,3.8599779879204514,negative
Z50062.1/3-119,1.9887303614283516,3.8981203520515733,negative
Z50065.1/3-120,1.9828661526382414,3.8624707643268166,negative
M33888.1/3-119,1.9769202624891489,3.8632566600192524,negative
X05526.1/2-115,1.9340237936442906,3.7744210463616787,negative
X75601.1/91-203,1.9277289850472803,3.765073114315363,negative
X55251.1/3-116,1.9450176461452935,3.7671384709014,negative
X55259.1/3-117,1.9535792573045945,3.830956262945905,negative
X55254.1/3-119,1.9820086123612912,3.863786759817608,negative
X00991.1/1-118,2.0425899619733574,3.962404977683455,negative
K02348.1/1-119,2.0170732409755674,3.9317713041273548,negative
K02350.1/1-119,2.0269511746786235,3.939998190676319,negative
K02349.1/1-119,2.0275425200692783,3.934289707733351,negative
X05233.1/1-119,2.0254670134103687,3.9301728274253036,negative
X06837.1/1-119,2.024974730107391,3.9222228048230465,negative
X01534.1/1-119,2.0273012072021257,3.9716941774282035,negative
X01535.1/1-119,2.029737787001947,3.962125851858196,negative
AJ243001.2/1-116,2.0058670644157215,3.9222344857822184,negative
X04305.1/1-118,2.0167662583744157,3.9645819403059455,negative
J01888.1/1-119,2.031945284035421,3.9666282705432137,negative
J01889.1/1-119,2.0323856916456675,3.97437690596163,negative
X01003.1/1-119,2.030931285676308,3.955590888818972,negative
X00996.1/1-119,2.029492672044362,3.954763590305519,negative
AJ132198.1/1-116,2.003956218644878,3.9126401123008816,negative
AJ312082.1/1-119,2.031945284035421,3.9513462052770105,negative
X00020.1/1-119,2.0321693526523226,3.9557632802328215,negative
X03911.1/1-119,2.0254670134103687,3.940731488273735,negative
X00998.1/1-119,2.0302817530913595,3.9484673463129702,negative
M35395.1/1-119,2.0287237886428344,3.9448224347243617,negative
X00994.1/1-119,2.0321693526523226,3.9651003453687403,negative
X06836.1/1-119,2.022966275369988,3.9663246663495078,negative
M16074.1/307-425,2.0170732409755674,3.9553700647212477,negative
X13035.1/1-119,2.023304438300149,3.9330753583682143,negative
K02354.1/1-118,2.0114304152636127,3.9270193673292937,negative
M25201.1/1-119,2.0306679108551666,3.9517967049162177,negative
M35394.1/1-119,2.029387580193933,3.957617989383041,negative
X13037.1/1-119,2.0317158703318174,3.9850873957387325,negative
X01518.1/1-119,2.031945284035421,3.9771666200309603,negative
X83208.1/1-119,2.0219826484184082,3.965304515162047,negative
X00992.1/1-119,2.031670932132293,3.9501522209361943,negative
X00022.1/1-119,2.0269511746786235,3.9731663138781865,negative
X01004.1/1-119,2.029949111845846,3.9822909375710127,negative
AJ417699.1/1-119,2.0286268004660677,3.9852918632183236,negative
X00997.1/1-119,2.027542520069278,3.9857739651884216,negative
X06834.1/1-119,2.0323856916456675,3.9671922284884458,negative
X01002.1/1-119,2.0604944131188367,4.005019629378481,negative
X00993.1/1-119,2.0325528359018254,3.974838549349552,negative
X05234.1/1-119,2.02935162923814,3.964557473317582,negative
X06835.1/1-119,2.0331956201393298,3.9877509921464047,negative
X57691.1/1-116,2.0017407885072718,3.929547881415394,negative
AB015590.1/1-119,2.0214446318416024,3.9418433848542396,negative
V00647.1/1-119,2.022966275369988,3.947716651089813,negative
V00648.1/1-119,2.0256660557064396,3.955300503215624,negative
D00076.1/1-119,2.027542520069278,3.9579321780907373,negative
X04309.1/2-120,2.0254670134103687,3.955413304739479,negative
M10817.1/1-119,2.0165501888363377,3.9266875988847234,negative
X71804.1/109-227,2.0151432944499965,3.922985159145834,negative
X12624.1/61-178,2.0107799356618217,3.9328369830677006,negative
X12622.1/1-118,2.0090073216976108,3.920546857675642,negative
X16851.1/1-119,2.016550188836338,3.939282639577185,negative
M10850.1/361-479,2.0214446318416024,3.9225618376426987,negative
J01012.1/1-119,2.00791118584675,3.9113350511043055,negative
K01537.1/51-169,2.020546957738315,3.9438189449431644,negative
J01009.1/607-725,2.016550188836338,3.9162840790458913,negative
X00190.1/1-118,2.0110413691360125,3.9253620969759213,negative
M24954.1/1-119,2.029276333051017,3.9693617902303764,negative
X13034.1/1-119,2.026551293807158,3.9628011159241407,negative
V00476.1/1-119,2.0301492886039076,3.981640610238691,negative
M27961.1/79-196,2.021917980376984,3.947546070291184,negative
X16225.1/825-943,2.0329932435120717,3.9839182150305956,negative
X01536.1/1-119,2.019835412490139,3.965663828642935,negative
X01550.1/1-119,2.0293875801939327,3.9553541042013025,negative
M34003.1/489-607,2.012023832185802,3.944420135027717,negative
M28984.1/1-119,2.012023832185802,3.9466790032993866,negative
M36306.1/1-119,2.0276745104438425,3.9422021983339373,negative
X02036.1/1-119,2.0267926066743103,3.9155829216018008,negative
X06833.1/1-115,1.995497183413336,3.9172590978758914,negative
AF072692.1/240-358,2.030281753091359,3.9899072450622257,negative
