nameseq,AB.1,AD.1,ASSD.1,MAXD.1,MIND.1,AS.1,APL.1,TALU.1,TU.1,NE.1,MOT3.1,MOT4.1,AB.2,AD.2,ASSD.2,MAXD.2,MIND.2,AS.2,APL.2,TALU.2,TU.2,NE.2,MOT3.2,MOT4.2,AB.3,AD.3,ASSD.3,MAXD.3,MIND.3,AS.3,APL.3,TALU.3,TU.3,NE.3,MOT3.3,MOT4.3,AB.4,AD.4,ASSD.4,MAXD.4,MIND.4,AS.4,APL.4,TALU.4,TU.4,NE.4,MOT3.4,MOT4.4,AB.5,AD.5,ASSD.5,MAXD.5,MIND.5,AS.5,APL.5,TALU.5,TU.5,NE.5,MOT3.5,MOT4.5,AB.6,AD.6,ASSD.6,MAXD.6,MIND.6,AS.6,APL.6,TALU.6,TU.6,NE.6,MOT3.6,MOT4.6,AB.7,AD.7,ASSD.7,MAXD.7,MIND.7,AS.7,APL.7,TALU.7,TU.7,NE.7,MOT3.7,MOT4.7,AB.8,AD.8,ASSD.8,MAXD.8,MIND.8,AS.8,APL.8,TALU.8,TU.8,NE.8,MOT3.8,MOT4.8,AB.9,AD.9,ASSD.9,MAXD.9,MIND.9,AS.9,APL.9,TALU.9,TU.9,NE.9,MOT3.9,MOT4.9,AB.10,AD.10,ASSD.10,MAXD.10,MIND.10,AS.10,APL.10,TALU.10,TU.10,NE.10,MOT3.10,MOT4.10,label
AY948705.1/1-134,66.53448275862068,4.655172413793105,0.42945888507438296,14.0,2.0,2.5633472469028686,3.334543254688445,0.049999999999999996,0.04807692307692308,131.0,302.0,1088.0,1.4310344827586208,1.8275862068965523,0.7907707638649341,12.0,0.0,2.492318758564504,1.7976931348623157e+308,0.1282051282051282,0.17647058823529413,131.0,15.0,12.0,0.0,0.5862068965517241,1.0,8.0,0.0,1.6716137439366652,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.2758620689655173,0.0,8.0,0.0,1.4597248612770157,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
DQ789482.1/2-135,57.71698113207546,5.09433962264151,0.46351821530904574,14.0,2.0,2.8101175087455594,3.2198838896952107,0.06810422282120396,0.08463949843260188,131.0,301.0,1075.0,2.90566037735849,2.1886792452830184,0.33304221251819405,10.0,0.0,2.7130474668707456,1.7976931348623157e+308,0.0,0.0,131.0,23.0,27.0,0.0,0.8301886792452832,1.0,8.0,0.0,1.92045443773577,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.4905660377358489,1.0,8.0,0.0,1.7657393716678247,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.1886792452830189,0.0,5.0,0.0,0.9527834847511392,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
AAGD02002634.1/3105-2972,65.83928571428572,4.928571428571428,0.6433371637933565,24.0,2.0,3.8305964793691203,3.3941558441558444,0.053231292517006805,0.05067567567567568,131.0,286.0,1013.0,1.9107142857142858,2.1785714285714275,0.757535607817158,21.0,0.0,3.727825595902978,1.7976931348623157e+308,0.36363636363636365,0.3157894736842105,131.0,15.0,17.0,0.03571428571428571,0.9642857142857139,0.745779220779221,19.0,0.0,3.1957800619068935,1.7976931348623157e+308,0.0,0.0,131.0,2.0,0.0,0.0,0.6428571428571427,1.0,16.0,0.0,2.702040045625391,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.5000000000000002,1.0,16.0,0.0,2.6254251356413008,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.5000000000000002,1.0,16.0,0.0,2.6254251356413008,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.28571428571428586,0.0,16.0,0.0,2.1189138534559038,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.28571428571428586,0.0,16.0,0.0,2.1189138534559038,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
DQ789492.1/2-135,61.85454545454546,5.12727272727273,0.7789993875043275,34.0,2.0,4.702241420872104,3.290909090909091,0.05238095238095239,0.05901639344262295,131.0,293.0,1048.0,1.2545454545454549,2.363636363636364,0.8809983275440628,30.0,0.0,4.518099505377884,1.7976931348623157e+308,0.25,0.16666666666666666,131.0,16.0,16.0,0.0,0.8363636363636366,1.0,28.0,0.0,4.062080238962371,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.7272727272727274,1.0,28.0,0.0,4.042746795545395,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.7272727272727274,1.0,28.0,0.0,4.042746795545395,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.7272727272727274,1.0,28.0,0.0,4.042746795545395,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.5090909090909094,0.0,28.0,0.0,3.741038879887037,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.5090909090909094,0.0,28.0,0.0,3.741038879887037,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.5090909090909094,0.0,28.0,0.0,3.741038879887037,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.5090909090909094,0.0,28.0,0.0,3.741038879887037,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,hacabox
AY948709.1/1-134,62.68518518518517,5.037037037037036,0.5273508909379455,16.0,2.0,2.8672025530313934,3.3654786862334034,0.040123456790123455,0.033582089552238806,131.0,262.0,871.0,3.574074074074075,2.5555555555555562,0.6865550870916912,14.0,0.0,3.0408738185342243,1.7976931348623157e+308,0.10256410256410257,0.1111111111111111,131.0,25.0,36.0,0.18518518518518526,0.8518518518518519,0.793982544786403,12.0,0.0,2.437419760558947,1.7976931348623157e+308,0.0,0.0,131.0,3.0,2.0,0.0,0.5185185185185187,1.0,12.0,0.0,2.0434243295012915,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.22222222222222227,0.0,12.0,0.0,1.6178021976178936,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.22222222222222227,0.0,12.0,0.0,1.6178021976178936,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
nameseq,AB.1,AD.1,ASSD.1,MAXD.1,MIND.1,AS.1,APL.1,TALU.1,TU.1,NE.1,MOT3.1,MOT4.1,AB.2,AD.2,ASSD.2,MAXD.2,MIND.2,AS.2,APL.2,TALU.2,TU.2,NE.2,MOT3.2,MOT4.2,AB.3,AD.3,ASSD.3,MAXD.3,MIND.3,AS.3,APL.3,TALU.3,TU.3,NE.3,MOT3.3,MOT4.3,AB.4,AD.4,ASSD.4,MAXD.4,MIND.4,AS.4,APL.4,TALU.4,TU.4,NE.4,MOT3.4,MOT4.4,AB.5,AD.5,ASSD.5,MAXD.5,MIND.5,AS.5,APL.5,TALU.5,TU.5,NE.5,MOT3.5,MOT4.5,AB.6,AD.6,ASSD.6,MAXD.6,MIND.6,AS.6,APL.6,TALU.6,TU.6,NE.6,MOT3.6,MOT4.6,AB.7,AD.7,ASSD.7,MAXD.7,MIND.7,AS.7,APL.7,TALU.7,TU.7,NE.7,MOT3.7,MOT4.7,AB.8,AD.8,ASSD.8,MAXD.8,MIND.8,AS.8,APL.8,TALU.8,TU.8,NE.8,MOT3.8,MOT4.8,AB.9,AD.9,ASSD.9,MAXD.9,MIND.9,AS.9,APL.9,TALU.9,TU.9,NE.9,MOT3.9,MOT4.9,AB.10,AD.10,ASSD.10,MAXD.10,MIND.10,AS.10,APL.10,TALU.10,TU.10,NE.10,MOT3.10,MOT4.10,label
AY948705.1/1-134,66.53448275862068,4.655172413793105,0.42945888507438296,14.0,2.0,2.5633472469028686,3.334543254688445,0.049999999999999996,0.04807692307692308,131.0,302.0,1088.0,1.4310344827586208,1.8275862068965523,0.7907707638649341,12.0,0.0,2.492318758564504,1.7976931348623157e+308,0.1282051282051282,0.17647058823529413,131.0,15.0,12.0,0.0,0.5862068965517241,1.0,8.0,0.0,1.6716137439366652,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.2758620689655173,0.0,8.0,0.0,1.4597248612770157,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
DQ789482.1/2-135,57.71698113207546,5.09433962264151,0.46351821530904574,14.0,2.0,2.8101175087455594,3.2198838896952107,0.06810422282120396,0.08463949843260188,131.0,301.0,1075.0,2.90566037735849,2.1886792452830184,0.33304221251819405,10.0,0.0,2.7130474668707456,1.7976931348623157e+308,0.0,0.0,131.0,23.0,27.0,0.0,0.8301886792452832,1.0,8.0,0.0,1.92045443773577,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.4905660377358489,1.0,8.0,0.0,1.7657393716678247,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.1886792452830189,0.0,5.0,0.0,0.9527834847511392,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
AAGD02002634.1/3105-2972,65.83928571428572,4.928571428571428,0.6433371637933565,24.0,2.0,3.8305964793691203,3.3941558441558444,0.053231292517006805,0.05067567567567568,131.0,286.0,1013.0,1.9107142857142858,2.1785714285714275,0.757535607817158,21.0,0.0,3.727825595902978,1.7976931348623157e+308,0.36363636363636365,0.3157894736842105,131.0,15.0,17.0,0.03571428571428571,0.9642857142857139,0.745779220779221,19.0,0.0,3.1957800619068935,1.7976931348623157e+308,0.0,0.0,131.0,2.0,0.0,0.0,0.6428571428571427,1.0,16.0,0.0,2.702040045625391,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.5000000000000002,1.0,16.0,0.0,2.6254251356413008,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.5000000000000002,1.0,16.0,0.0,2.6254251356413008,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.28571428571428586,0.0,16.0,0.0,2.1189138534559038,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.28571428571428586,0.0,16.0,0.0,2.1189138534559038,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
DQ789492.1/2-135,61.85454545454546,5.12727272727273,0.7789993875043275,34.0,2.0,4.702241420872104,3.290909090909091,0.05238095238095239,0.05901639344262295,131.0,293.0,1048.0,1.2545454545454549,2.363636363636364,0.8809983275440628,30.0,0.0,4.518099505377884,1.7976931348623157e+308,0.25,0.16666666666666666,131.0,16.0,16.0,0.0,0.8363636363636366,1.0,28.0,0.0,4.062080238962371,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.7272727272727274,1.0,28.0,0.0,4.042746795545395,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.7272727272727274,1.0,28.0,0.0,4.042746795545395,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.7272727272727274,1.0,28.0,0.0,4.042746795545395,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.5090909090909094,0.0,28.0,0.0,3.741038879887037,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.5090909090909094,0.0,28.0,0.0,3.741038879887037,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.5090909090909094,0.0,28.0,0.0,3.741038879887037,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.5090909090909094,0.0,28.0,0.0,3.741038879887037,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,hacabox
