nameseq,AB.1,AD.1,ASSD.1,MAXD.1,MIND.1,AS.1,APL.1,TALU.1,TU.1,NE.1,MOT3.1,MOT4.1,AB.2,AD.2,ASSD.2,MAXD.2,MIND.2,AS.2,APL.2,TALU.2,TU.2,NE.2,MOT3.2,MOT4.2,AB.3,AD.3,ASSD.3,MAXD.3,MIND.3,AS.3,APL.3,TALU.3,TU.3,NE.3,MOT3.3,MOT4.3,AB.4,AD.4,ASSD.4,MAXD.4,MIND.4,AS.4,APL.4,TALU.4,TU.4,NE.4,MOT3.4,MOT4.4,AB.5,AD.5,ASSD.5,MAXD.5,MIND.5,AS.5,APL.5,TALU.5,TU.5,NE.5,MOT3.5,MOT4.5,AB.6,AD.6,ASSD.6,MAXD.6,MIND.6,AS.6,APL.6,TALU.6,TU.6,NE.6,MOT3.6,MOT4.6,AB.7,AD.7,ASSD.7,MAXD.7,MIND.7,AS.7,APL.7,TALU.7,TU.7,NE.7,MOT3.7,MOT4.7,AB.8,AD.8,ASSD.8,MAXD.8,MIND.8,AS.8,APL.8,TALU.8,TU.8,NE.8,MOT3.8,MOT4.8,AB.9,AD.9,ASSD.9,MAXD.9,MIND.9,AS.9,APL.9,TALU.9,TU.9,NE.9,MOT3.9,MOT4.9,AB.10,AD.10,ASSD.10,MAXD.10,MIND.10,AS.10,APL.10,TALU.10,TU.10,NE.10,MOT3.10,MOT4.10,label
AF308283.1/1-330,46.982758620689644,11.482758620689658,0.49073109859588765,32.0,2.0,6.4091566482444495,2.648517846339988,0.09125615763546799,0.08967391304347826,327.0,692.0,3630.0,53.810344827586206,9.310344827586208,0.4475880521904514,29.0,0.0,6.670074436207006,1.7976931348623157e+308,0.05828157349896481,0.05263157894736842,327.0,275.0,1002.0,40.224137931034484,5.793103448275861,0.5147730851549296,29.0,0.0,6.450764778743507,1.7976931348623157e+308,0.09876543209876543,0.08450704225352113,327.0,67.0,128.0,2.4137931034482767,3.2068965517241383,0.3570618053884037,29.0,0.0,5.582480664418713,1.7976931348623157e+308,0.0,0.0,327.0,14.0,12.0,0.03448275862068964,2.103448275862069,0.5316882099490794,25.0,0.0,4.570103957062585,1.7976931348623157e+308,0.0,0.0,327.0,2.0,0.0,0.0,1.2413793103448278,1.0,20.0,0.0,3.663945230107447,1.7976931348623157e+308,0.0,0.0,327.0,0.0,0.0,0.0,1.2413793103448278,1.0,20.0,0.0,3.663945230107447,1.7976931348623157e+308,0.0,0.0,327.0,0.0,0.0,0.0,0.9999999999999997,1.0,20.0,0.0,3.5036926333463554,1.7976931348623157e+308,0.0,0.0,327.0,0.0,0.0,0.0,0.7241379310344828,1.0,20.0,0.0,3.2472434115844284,1.7976931348623157e+308,0.0,0.0,327.0,0.0,0.0,0.0,0.7241379310344828,1.0,20.0,0.0,3.2472434115844284,1.7976931348623157e+308,0.0,0.0,327.0,0.0,0.0,hacabox
AF308282.1/1-316,51.65624999999999,9.812499999999998,0.1674427931641446,22.0,2.0,4.336887564832642,2.6398809523809526,0.09110863095238093,0.07007786429365963,313.0,857.0,4827.0,66.046875,6.812499999999998,0.08116518622102295,20.0,0.0,4.729809060628135,1.7976931348623157e+308,0.028368794326241138,0.014354066985645933,313.0,207.0,642.0,8.140624999999998,3.750000000000001,-0.09160788535084868,16.0,0.0,4.268342769740968,1.7976931348623157e+308,0.0,0.0,313.0,49.0,80.0,0.42187499999999994,1.5937499999999998,-0.021333208850715095,12.0,0.0,2.9723662186042956,1.7976931348623157e+308,0.0,0.0,313.0,8.0,6.0,0.015625000000000003,0.4687500000000001,-0.5000000000000019,10.0,0.0,1.7044862679118304,1.7976931348623157e+308,0.0,0.0,313.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
AACN010346788.1/508-835,46.603448275862064,11.344827586206895,0.47857993766821755,30.0,2.0,6.282300600285094,2.635208711433757,0.11379310344827584,0.1124031007751938,325.0,716.0,3781.0,71.53448275862071,8.931034482758621,0.46225495582416004,30.0,0.0,6.867871398805825,1.7976931348623157e+308,0.042539682539682544,0.06844106463878327,325.0,251.0,896.0,25.896551724137932,5.8965517241379315,0.4345244589403327,28.0,0.0,6.551361151469196,1.7976931348623157e+308,0.03974358974358974,0.07407407407407407,325.0,77.0,167.0,4.120689655172412,2.896551724137931,0.4110674009965902,22.0,0.0,5.155143581974501,1.7976931348623157e+308,0.0,0.0,325.0,13.0,13.0,0.0,1.2413793103448278,0.23809523809523808,18.0,0.0,3.900973993440994,1.7976931348623157e+308,0.0,0.0,325.0,0.0,0.0,0.0,1.2413793103448278,0.23809523809523808,18.0,0.0,3.900973993440994,1.7976931348623157e+308,0.0,0.0,325.0,0.0,0.0,0.0,0.8275862068965514,1.0,15.0,0.0,3.141150300142547,1.7976931348623157e+308,0.0,0.0,325.0,0.0,0.0,0.0,0.8275862068965514,1.0,15.0,0.0,3.141150300142547,1.7976931348623157e+308,0.0,0.0,325.0,0.0,0.0,0.0,0.8275862068965514,1.0,15.0,0.0,3.141150300142547,1.7976931348623157e+308,0.0,0.0,325.0,0.0,0.0,0.0,0.517241379310345,0.0,15.0,0.0,2.7369841148944043,1.7976931348623157e+308,0.0,0.0,325.0,0.0,0.0,hacabox
AAQQ01201317.1/367-42,42.10909090909089,11.963636363636363,0.4383571994247042,34.0,4.0,6.099071870862846,2.5595959595959594,0.09354978354978354,0.09986684420772303,323.0,701.0,3690.0,47.000000000000014,9.599999999999998,0.38787963333798303,32.0,0.0,6.869166946977962,1.7976931348623157e+308,0.06767195767195767,0.07046979865771812,323.0,284.0,1061.0,54.14545454545454,6.472727272727271,0.5090114284183017,30.0,0.0,6.352821979832115,1.7976931348623157e+308,0.07,0.075,323.0,76.0,158.0,2.218181818181817,2.981818181818182,0.41189640046546355,27.0,0.0,5.541548549871103,1.7976931348623157e+308,0.0,0.0,323.0,12.0,13.0,0.09090909090909093,1.8181818181818188,0.2900058966962563,27.0,0.0,4.521025262204094,1.7976931348623157e+308,0.0,0.0,323.0,3.0,1.0,0.0,1.2727272727272734,0.5533845080251218,22.0,0.0,3.6603752686627664,1.7976931348623157e+308,0.0,0.0,323.0,0.0,0.0,0.0,0.6181818181818182,1.0,16.0,0.0,2.6866058958599455,1.7976931348623157e+308,0.0,0.0,323.0,0.0,0.0,0.0,0.6181818181818182,1.0,16.0,0.0,2.6866058958599455,1.7976931348623157e+308,0.0,0.0,323.0,0.0,0.0,0.0,0.3272727272727273,0.0,9.0,0.0,1.6847394776160545,1.7976931348623157e+308,0.0,0.0,323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
AAPY01657622.1/489-161,52.11475409836066,10.754098360655737,0.36972303636773496,26.0,2.0,5.99905931889631,2.737158469945355,0.09738485558157686,0.10358056265984655,326.0,728.0,3814.0,61.40983606557375,8.491803278688527,0.3248932264200225,26.0,0.0,6.560245274352276,1.7976931348623157e+308,0.04642857142857143,0.0784313725490196,326.0,290.0,1111.0,27.213114754098367,4.885245901639346,0.1252489010585507,22.0,0.0,6.097831812077539,1.7976931348623157e+308,0.06491228070175438,0.10843373493975904,326.0,77.0,178.0,0.5081967213114752,2.5245901639344264,-0.1365105384856294,19.0,0.0,4.378062141030312,1.7976931348623157e+308,0.20833333333333331,0.17647058823529413,326.0,15.0,13.0,0.016393442622950814,1.4754098360655745,0.3484409724560578,12.0,0.0,3.201467682772649,1.7976931348623157e+308,0.75,0.75,326.0,2.0,0.0,0.0,0.6557377049180328,1.0,7.0,0.0,1.990841702722658,1.7976931348623157e+308,0.0,0.0,326.0,0.0,0.0,0.0,0.4590163934426231,0.0,7.0,0.0,1.7327488867834506,1.7976931348623157e+308,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
nameseq,AB.1,AD.1,ASSD.1,MAXD.1,MIND.1,AS.1,APL.1,TALU.1,TU.1,NE.1,MOT3.1,MOT4.1,AB.2,AD.2,ASSD.2,MAXD.2,MIND.2,AS.2,APL.2,TALU.2,TU.2,NE.2,MOT3.2,MOT4.2,AB.3,AD.3,ASSD.3,MAXD.3,MIND.3,AS.3,APL.3,TALU.3,TU.3,NE.3,MOT3.3,MOT4.3,AB.4,AD.4,ASSD.4,MAXD.4,MIND.4,AS.4,APL.4,TALU.4,TU.4,NE.4,MOT3.4,MOT4.4,AB.5,AD.5,ASSD.5,MAXD.5,MIND.5,AS.5,APL.5,TALU.5,TU.5,NE.5,MOT3.5,MOT4.5,AB.6,AD.6,ASSD.6,MAXD.6,MIND.6,AS.6,APL.6,TALU.6,TU.6,NE.6,MOT3.6,MOT4.6,AB.7,AD.7,ASSD.7,MAXD.7,MIND.7,AS.7,APL.7,TALU.7,TU.7,NE.7,MOT3.7,MOT4.7,AB.8,AD.8,ASSD.8,MAXD.8,MIND.8,AS.8,APL.8,TALU.8,TU.8,NE.8,MOT3.8,MOT4.8,AB.9,AD.9,ASSD.9,MAXD.9,MIND.9,AS.9,APL.9,TALU.9,TU.9,NE.9,MOT3.9,MOT4.9,AB.10,AD.10,ASSD.10,MAXD.10,MIND.10,AS.10,APL.10,TALU.10,TU.10,NE.10,MOT3.10,MOT4.10,label
AF308283.1/1-330,46.982758620689644,11.482758620689658,0.49073109859588765,32.0,2.0,6.4091566482444495,2.648517846339988,0.09125615763546799,0.08967391304347826,327.0,692.0,3630.0,53.810344827586206,9.310344827586208,0.4475880521904514,29.0,0.0,6.670074436207006,1.7976931348623157e+308,0.05828157349896481,0.05263157894736842,327.0,275.0,1002.0,40.224137931034484,5.793103448275861,0.5147730851549296,29.0,0.0,6.450764778743507,1.7976931348623157e+308,0.09876543209876543,0.08450704225352113,327.0,67.0,128.0,2.4137931034482767,3.2068965517241383,0.3570618053884037,29.0,0.0,5.582480664418713,1.7976931348623157e+308,0.0,0.0,327.0,14.0,12.0,0.03448275862068964,2.103448275862069,0.5316882099490794,25.0,0.0,4.570103957062585,1.7976931348623157e+308,0.0,0.0,327.0,2.0,0.0,0.0,1.2413793103448278,1.0,20.0,0.0,3.663945230107447,1.7976931348623157e+308,0.0,0.0,327.0,0.0,0.0,0.0,1.2413793103448278,1.0,20.0,0.0,3.663945230107447,1.7976931348623157e+308,0.0,0.0,327.0,0.0,0.0,0.0,0.9999999999999997,1.0,20.0,0.0,3.5036926333463554,1.7976931348623157e+308,0.0,0.0,327.0,0.0,0.0,0.0,0.7241379310344828,1.0,20.0,0.0,3.2472434115844284,1.7976931348623157e+308,0.0,0.0,327.0,0.0,0.0,0.0,0.7241379310344828,1.0,20.0,0.0,3.2472434115844284,1.7976931348623157e+308,0.0,0.0,327.0,0.0,0.0,hacabox
AF308282.1/1-316,51.65624999999999,9.812499999999998,0.1674427931641446,22.0,2.0,4.336887564832642,2.6398809523809526,0.09110863095238093,0.07007786429365963,313.0,857.0,4827.0,66.046875,6.812499999999998,0.08116518622102295,20.0,0.0,4.729809060628135,1.7976931348623157e+308,0.028368794326241138,0.014354066985645933,313.0,207.0,642.0,8.140624999999998,3.750000000000001,-0.09160788535084868,16.0,0.0,4.268342769740968,1.7976931348623157e+308,0.0,0.0,313.0,49.0,80.0,0.42187499999999994,1.5937499999999998,-0.021333208850715095,12.0,0.0,2.9723662186042956,1.7976931348623157e+308,0.0,0.0,313.0,8.0,6.0,0.015625000000000003,0.4687500000000001,-0.5000000000000019,10.0,0.0,1.7044862679118304,1.7976931348623157e+308,0.0,0.0,313.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
AACN010346788.1/508-835,46.603448275862064,11.344827586206895,0.47857993766821755,30.0,2.0,6.282300600285094,2.635208711433757,0.11379310344827584,0.1124031007751938,325.0,716.0,3781.0,71.53448275862071,8.931034482758621,0.46225495582416004,30.0,0.0,6.867871398805825,1.7976931348623157e+308,0.042539682539682544,0.06844106463878327,325.0,251.0,896.0,25.896551724137932,5.8965517241379315,0.4345244589403327,28.0,0.0,6.551361151469196,1.7976931348623157e+308,0.03974358974358974,0.07407407407407407,325.0,77.0,167.0,4.120689655172412,2.896551724137931,0.4110674009965902,22.0,0.0,5.155143581974501,1.7976931348623157e+308,0.0,0.0,325.0,13.0,13.0,0.0,1.2413793103448278,0.23809523809523808,18.0,0.0,3.900973993440994,1.7976931348623157e+308,0.0,0.0,325.0,0.0,0.0,0.0,1.2413793103448278,0.23809523809523808,18.0,0.0,3.900973993440994,1.7976931348623157e+308,0.0,0.0,325.0,0.0,0.0,0.0,0.8275862068965514,1.0,15.0,0.0,3.141150300142547,1.7976931348623157e+308,0.0,0.0,325.0,0.0,0.0,0.0,0.8275862068965514,1.0,15.0,0.0,3.141150300142547,1.7976931348623157e+308,0.0,0.0,325.0,0.0,0.0,0.0,0.8275862068965514,1.0,15.0,0.0,3.141150300142547,1.7976931348623157e+308,0.0,0.0,325.0,0.0,0.0,0.0,0.517241379310345,0.0,15.0,0.0,2.7369841148944043,1.7976931348623157e+308,0.0,0.0,325.0,0.0,0.0,hacabox
AAQQ01201317.1/367-42,42.10909090909089,11.963636363636363,0.4383571994247042,34.0,4.0,6.099071870862846,2.5595959595959594,0.09354978354978354,0.09986684420772303,323.0,701.0,3690.0,47.000000000000014,9.599999999999998,0.38787963333798303,32.0,0.0,6.869166946977962,1.7976931348623157e+308,0.06767195767195767,0.07046979865771812,323.0,284.0,1061.0,54.14545454545454,6.472727272727271,0.5090114284183017,30.0,0.0,6.352821979832115,1.7976931348623157e+308,0.07,0.075,323.0,76.0,158.0,2.218181818181817,2.981818181818182,0.41189640046546355,27.0,0.0,5.541548549871103,1.7976931348623157e+308,0.0,0.0,323.0,12.0,13.0,0.09090909090909093,1.8181818181818188,0.2900058966962563,27.0,0.0,4.521025262204094,1.7976931348623157e+308,0.0,0.0,323.0,3.0,1.0,0.0,1.2727272727272734,0.5533845080251218,22.0,0.0,3.6603752686627664,1.7976931348623157e+308,0.0,0.0,323.0,0.0,0.0,0.0,0.6181818181818182,1.0,16.0,0.0,2.6866058958599455,1.7976931348623157e+308,0.0,0.0,323.0,0.0,0.0,0.0,0.6181818181818182,1.0,16.0,0.0,2.6866058958599455,1.7976931348623157e+308,0.0,0.0,323.0,0.0,0.0,0.0,0.3272727272727273,0.0,9.0,0.0,1.6847394776160545,1.7976931348623157e+308,0.0,0.0,323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
