nameseq,k1,k2,label
AC129195.3/135944-135814,0.7459938232037759,0.9287573964497041,hacabox
AF357412.1/1-113,0.7458689012452032,0.9258609693877551,hacabox
AL445435.11/96511-96381,0.7299108443563895,0.9220118343195266,hacabox
AC079121.5/42943-42813,0.7402832002797041,0.9241420118343195,hacabox
AC122390.4/99926-99796,0.7314259075811433,0.9249704142011834,hacabox
nameseq,k1,k2,label
AC129195.3/135944-135814,0.7459938232037759,0.9287573964497041,hacabox
AF357412.1/1-113,0.7458689012452032,0.9258609693877551,hacabox
AL445435.11/96511-96381,0.7299108443563895,0.9220118343195266,hacabox
AC079121.5/42943-42813,0.7402832002797041,0.9241420118343195,hacabox
AC122390.4/99926-99796,0.7314259075811433,0.9249704142011834,hacabox
