nameseq,k1,k2,label
AAHK01022453.1/206-268,0.7402368354749307,0.9209157127991675,hacabox
AC159420.1/7886-7948,0.7387251196775007,0.9193548387096774,hacabox
FR796455.1/43976-44038,0.7407407407407407,0.9203954214360042,hacabox
FR798998.1/39703-39765,0.7341899722852103,0.9219562955254943,hacabox
FR796419.1/39405-39467,0.7362055933484506,0.918834547346514,hacabox
nameseq,k1,k2,label
AAHK01022453.1/206-268,0.7402368354749307,0.9209157127991675,hacabox
AC159420.1/7886-7948,0.7387251196775007,0.9193548387096774,hacabox
FR796455.1/43976-44038,0.7407407407407407,0.9203954214360042,hacabox
FR798998.1/39703-39765,0.7341899722852103,0.9219562955254943,hacabox
FR796419.1/39405-39467,0.7362055933484506,0.918834547346514,hacabox
